accuracy,loss,roc_auc,val_accuracy,val_loss,val_roc_auc
0.4933333396911621,0.7605053782463074,0.5350000262260437,0.699999988079071,0.6660243272781372,0.6190476417541504
0.746666669845581,0.5625064373016357,0.6699999570846558,0.699999988079071,0.6447392702102661,0.6666666865348816
0.800000011920929,0.5369012355804443,0.6786363124847412,0.699999988079071,0.6350821256637573,0.7619047164916992
0.7866666913032532,0.43750518560409546,0.8209090828895569,0.699999988079071,0.6363973021507263,0.761904776096344
0.8133333325386047,0.4143708348274231,0.8436363339424133,0.699999988079071,0.6354668140411377,0.761904776096344
0.8399999737739563,0.4011252522468567,0.875,0.699999988079071,0.6444372534751892,0.785714328289032
0.8799999952316284,0.3420194387435913,0.9472727179527283,0.699999988079071,0.6670364141464233,0.8333333730697632
0.8933333158493042,0.3162991404533386,0.9518181681632996,0.5,0.6814689636230469,0.8095238208770752
0.9066666960716248,0.2814621329307556,0.9631817936897278,0.5,0.6825749278068542,0.8571428060531616
0.9066666960716248,0.2781737148761749,0.9545454382896423,0.30000001192092896,0.7562333345413208,0.8809523582458496
0.9066666960716248,0.2099841684103012,0.9854545593261719,0.30000001192092896,0.8246258497238159,0.9047619104385376
0.9466666579246521,0.17481833696365356,0.9918181896209717,0.30000001192092896,0.8998008966445923,0.8809523582458496
0.9599999785423279,0.15295596420764923,0.9972726702690125,0.30000001192092896,1.016592264175415,0.8809523582458496
