accuracy,loss,roc_auc,val_accuracy,val_loss,val_roc_auc
0.6133333444595337,0.7565180659294128,0.4986363649368286,0.699999988079071,0.6593748927116394,0.4285714030265808
0.6266666650772095,0.6633632779121399,0.5663636326789856,0.699999988079071,0.6626234650611877,0.5
0.7066666483879089,0.5516928434371948,0.6968181729316711,0.699999988079071,0.5994267463684082,0.7142857313156128
0.7200000286102295,0.5480299592018127,0.7122727036476135,0.699999988079071,0.5464812517166138,0.8095238208770752
0.6133333444595337,0.6147171258926392,0.642727255821228,0.800000011920929,0.5466406941413879,0.761904776096344
0.7599999904632568,0.4615781605243683,0.8163635730743408,0.699999988079071,0.5632151365280151,0.7857142686843872
0.7866666913032532,0.47939401865005493,0.8031818866729736,0.699999988079071,0.606722354888916,0.7380952835083008
0.6933333277702332,0.6386787295341492,0.6154545545578003,0.800000011920929,0.5941967964172363,0.7619047164916992
0.8399999737739563,0.40029314160346985,0.8613636493682861,0.699999988079071,0.5763043165206909,0.7142857313156128
0.7866666913032532,0.4216569662094116,0.8377273082733154,0.6000000238418579,0.5681201219558716,0.7142857313156128
0.7866666913032532,0.5084885954856873,0.7354545593261719,0.6000000238418579,0.5511994361877441,0.7142857313156128
0.7733333110809326,0.38811779022216797,0.8686363101005554,0.6000000238418579,0.5316069722175598,0.7142857313156128
0.7599999904632568,0.45494741201400757,0.8054544925689697,0.6000000238418579,0.5101243257522583,0.7619048357009888
0.800000011920929,0.3831987679004669,0.8795455098152161,0.6000000238418579,0.5168642401695251,0.761904776096344
0.7599999904632568,0.494301974773407,0.7795454263687134,0.800000011920929,0.5281715989112854,0.8095238208770752
0.8133333325386047,0.3631756901741028,0.8931818008422852,0.699999988079071,0.5493146777153015,0.8095238208770752
0.8133333325386047,0.3522568345069885,0.9013636112213135,0.699999988079071,0.6069735288619995,0.7142857313156128
0.8533333539962769,0.31399425864219666,0.9418181777000427,0.6000000238418579,0.6896895170211792,0.6666666865348816
0.8533333539962769,0.3410714268684387,0.9027272462844849,0.6000000238418579,0.7578747868537903,0.6666666865348816
0.8399999737739563,0.3231738209724426,0.9309091567993164,0.699999988079071,0.8293926119804382,0.6666666865348816
0.9066666960716248,0.33544814586639404,0.9213637113571167,0.6000000238418579,0.8764562606811523,0.5714285373687744
0.8666666746139526,0.338560551404953,0.9013636112213135,0.5,0.9008998870849609,0.5714285373687744
0.8266666531562805,0.32737237215042114,0.9204545021057129,0.6000000238418579,0.9248480796813965,0.5952380895614624
