loss,accuracy,val_loss,val_accuracy
1.7683571577072144,0.2854275107383728,1.6494382619857788,0.33565840125083923
1.637299656867981,0.3473172187805176,1.5556888580322266,0.3908642530441284
1.5448429584503174,0.3982171416282654,1.4491629600524902,0.44504934549331665
1.4436564445495605,0.453370064496994,1.3687150478363037,0.4857944846153259
1.3521628379821777,0.4967960715293884,1.3030003309249878,0.5095270276069641
1.28433358669281,0.5285518169403076,1.212960124015808,0.5444878935813904
1.2209879159927368,0.5560886263847351,1.14098060131073,0.5730690956115723
1.16585111618042,0.5793269872665405,1.1080639362335205,0.5913575887680054
1.1186444759368896,0.6003991961479187,1.0618315935134888,0.611092209815979
1.060876488685608,0.622957170009613,1.0442079305648804,0.6190030574798584
1.0312225818634033,0.6352511644363403,1.0251543521881104,0.6343994736671448
0.986397385597229,0.6536808609962463,0.9519212245941162,0.6568560600280762
0.95209801197052,0.6680163145065308,0.9697229862213135,0.6519224047660828
0.9087531566619873,0.683417797088623,0.8856347799301147,0.6837359666824341
0.8822200894355774,0.6965510845184326,0.8836957812309265,0.6923273205757141
0.8582448363304138,0.7040930986404419,0.883715808391571,0.6874787211418152
0.8326900005340576,0.7153777480125427,0.8466572761535645,0.7080639600753784
0.803990364074707,0.7268891930580139,0.7966827750205994,0.7237155437469482
0.7842662930488586,0.7343971729278564,0.8202555775642395,0.7185267210006714
0.7578912973403931,0.7434815764427185,0.7878390550613403,0.7290745377540588
0.7334108352661133,0.7544713020324707,0.7670086622238159,0.7373256087303162
0.7074384093284607,0.7624102830886841,0.7389962077140808,0.7437053322792053
0.6861342787742615,0.7702017426490784,0.7430541515350342,0.7472779750823975
0.6681453585624695,0.7765642404556274,0.7371561527252197,0.7493194937705994
0.6508263945579529,0.7848660945892334,0.7005370855331421,0.7658216953277588
0.6283500790596008,0.7927029728889465,0.7344322204589844,0.75859135389328
0.6089487075805664,0.7996779084205627,0.7249126434326172,0.753147304058075
0.5879902839660645,0.8062218427658081,0.7208075523376465,0.7628445029258728
0.5743639469146729,0.8113934993743896,0.6714362502098083,0.774668276309967
0.5645962357521057,0.8149773478507996,0.686768114566803,0.7709254622459412
0.5477824211120605,0.820580005645752,0.6763811707496643,0.7791765928268433
0.5288379192352295,0.8262960314750671,0.6488439440727234,0.7898094654083252
0.5166540741920471,0.8299366235733032,0.6257039904594421,0.7927016019821167
0.5069137215614319,0.833985447883606,0.6328209042549133,0.7945730090141296
0.49211448431015015,0.840654194355011,0.6444528102874756,0.788108229637146
0.48187512159347534,0.8438297510147095,0.6352130174636841,0.7941476702690125
0.4662017822265625,0.8484002947807312,0.5936810374259949,0.808438241481781
0.4647652804851532,0.8491034507751465,0.6397696137428284,0.7972949743270874
0.4455518126487732,0.8544792532920837,0.6069625020027161,0.8109050989151001
0.4334341287612915,0.8597416281700134,0.6068841814994812,0.808268129825592
0.4348575472831726,0.8598437309265137,0.5876546502113342,0.8137972354888916
0.41324663162231445,0.8670114278793335,0.6190189719200134,0.8055461049079895
0.40258723497390747,0.8702324032783508,0.5867758989334106,0.8166043162345886
0.389557421207428,0.874474048614502,0.6178185939788818,0.8108199834823608
0.3865306079387665,0.875596821308136,0.5872941017150879,0.8180503845214844
0.3783293068408966,0.8783981204032898,0.6058416366577148,0.8150731325149536
0.36564111709594727,0.8812561631202698,0.601095974445343,0.8175399899482727
0.3593796491622925,0.8842843174934387,0.572174608707428,0.8183055520057678
0.3589346706867218,0.8830707669258118,0.558813750743866,0.8284280300140381
0.3424387574195862,0.8892404437065125,0.6112716197967529,0.8158386945724487
0.3351014256477356,0.8914860486984253,0.6013602018356323,0.8209425210952759
0.3342882990837097,0.8924500942230225,0.6158286333084106,0.8165192008018494
0.326316773891449,0.8942646980285645,0.5871721506118774,0.822983980178833
0.315996378660202,0.8989373445510864,0.5514534115791321,0.8287683129310608
0.3087066411972046,0.9006952047348022,0.5582801103591919,0.830639660358429
0.3072744905948639,0.901080846786499,0.5965011119842529,0.824855387210846
0.29188892245292664,0.9069783091545105,0.5612205266952515,0.8310649991035461
0.293941855430603,0.9048461318016052,0.5801447629928589,0.8285130858421326
0.2940630316734314,0.9055379629135132,0.5601046681404114,0.8339571356773376
0.2853776514530182,0.9083732962608337,0.5790066719055176,0.8320006728172302
0.27642759680747986,0.9110158681869507,0.5679440498352051,0.8348077535629272
0.2714073657989502,0.9123314619064331,0.5583061575889587,0.8387206792831421
0.2632165849208832,0.9156544804573059,0.560679018497467,0.8391459584236145
0.26713666319847107,0.9158359169960022,0.562946081161499,0.8322558403015137
