loss,accuracy,roc_auc,val_loss,val_accuracy,val_roc_auc
0.5957096219062805,0.8716273903846741,0.9155804514884949,0.5283878445625305,0.9009016752243042,0.9519650936126709
0.5340791940689087,0.890261173248291,0.933332622051239,0.5143641233444214,0.8895882964134216,0.9534705281257629
0.49708646535873413,0.8940151929855347,0.9350093007087708,0.44169825315475464,0.9199557900428772,0.9598865509033203
0.4670167565345764,0.9002189040184021,0.9385099411010742,0.414947509765625,0.9259952306747437,0.966338038444519
0.45159193873405457,0.901466429233551,0.9386701583862305,0.40998783707618713,0.9154474139213562,0.9599462747573853
0.440559446811676,0.9018633961677551,0.9389305710792542,0.369856059551239,0.9243790507316589,0.9663971662521362
0.43147146701812744,0.9027026295661926,0.9392125606536865,0.41934487223625183,0.9265056252479553,0.9669338464736938
0.426147997379303,0.9015117883682251,0.9403970241546631,0.37125805020332336,0.9265056252479553,0.9614973664283752
0.4143085181713104,0.9026346206665039,0.9397422075271606,0.3985633850097656,0.9172337651252747,0.9591303467750549
0.4030779302120209,0.9034965634346008,0.941508948802948,0.35584259033203125,0.9339911341667175,0.9698670506477356
0.39590582251548767,0.9026346206665039,0.9412595629692078,0.3379508852958679,0.9275263547897339,0.9676779508590698
0.383023738861084,0.9039161801338196,0.9420292377471924,0.36945030093193054,0.9068560600280762,0.9591716527938843
0.38437336683273315,0.9027479887008667,0.9419455528259277,0.33640074729919434,0.9265056252479553,0.9640617370605469
0.3790333867073059,0.9021242260932922,0.9412243366241455,0.3492332696914673,0.9084722399711609,0.9610790014266968
0.37412145733833313,0.9026572704315186,0.941861093044281,0.360466867685318,0.9128955602645874,0.9602885246276855
0.37438908219337463,0.9031336307525635,0.9417215585708618,0.35029080510139465,0.9282068610191345,0.9663190245628357
0.37459808588027954,0.9039615392684937,0.9424211382865906,0.3223353326320648,0.9228479266166687,0.9701327681541443
0.3689785897731781,0.9026346206665039,0.9423096776008606,0.3258068263530731,0.925314724445343,0.9678647518157959
0.3687039315700531,0.9024304747581482,0.9433827996253967,0.349749356508255,0.9212316870689392,0.9625867009162903
0.3831399381160736,0.8993682861328125,0.9394299983978271,0.33816245198249817,0.9291425943374634,0.9677247405052185
0.37139198184013367,0.9017272591590881,0.9416263699531555,0.3320769667625427,0.9288873672485352,0.966410756111145
0.36901524662971497,0.9021129012107849,0.9429855346679688,0.3240906894207001,0.927186131477356,0.9666376709938049
0.370210200548172,0.9033831357955933,0.9425214529037476,0.34521588683128357,0.9202109575271606,0.9671435356140137
0.3656807541847229,0.9018974304199219,0.9433179497718811,0.3323885202407837,0.9250595569610596,0.9647843837738037
0.3624565303325653,0.9029408097267151,0.9437915086746216,0.319194495677948,0.9227628707885742,0.9654350280761719
0.367671400308609,0.8993116021156311,0.9412133693695068,0.3167434632778168,0.9250595569610596,0.9677008986473083
0.36739471554756165,0.9023170471191406,0.9419806599617004,0.3206040859222412,0.9304184913635254,0.9702954292297363
0.36774227023124695,0.9012169241905212,0.9426029324531555,0.3201315999031067,0.9306737184524536,0.9710982441902161
0.36688753962516785,0.9000487923622131,0.9421399831771851,0.3180364966392517,0.9216570258140564,0.9655382037162781
0.3593493402004242,0.9023964405059814,0.9421912431716919,0.32739412784576416,0.9224225878715515,0.9672939777374268
0.36508694291114807,0.9008086323738098,0.9431864023208618,0.3198716640472412,0.9294828176498413,0.9665669202804565
0.36241626739501953,0.9020675420761108,0.9428845047950745,0.3403398394584656,0.9144266843795776,0.9659059643745422
0.36182263493537903,0.9009674191474915,0.9436410069465637,0.35096871852874756,0.9055801033973694,0.9588006138801575
0.3643529415130615,0.9013983607292175,0.9427539110183716,0.31787532567977905,0.9305886626243591,0.967956006526947
0.36023449897766113,0.901942789554596,0.9428138732910156,0.31787654757499695,0.9240387678146362,0.9669876098632812
0.37073633074760437,0.8987558484077454,0.9414204359054565,0.3074176609516144,0.9290574789047241,0.9653316140174866
0.366488516330719,0.8998106122016907,0.9419445395469666,0.3875854015350342,0.9003912806510925,0.9503671526908875
0.3665260970592499,0.9008199572563171,0.9424141645431519,0.32862162590026855,0.9295678734779358,0.969576358795166
0.3577079474925995,0.9022376537322998,0.9427384734153748,0.325686514377594,0.9173188209533691,0.9617735743522644
0.37912148237228394,0.8971113562583923,0.9388326406478882,0.3546426296234131,0.919700562953949,0.9661493301391602
0.3628724217414856,0.8994476795196533,0.9418598413467407,0.33252251148223877,0.9191902279853821,0.9653905034065247
0.35942527651786804,0.9023624062538147,0.9437193274497986,0.34778112173080444,0.916893482208252,0.9607948064804077
0.36065545678138733,0.9009333848953247,0.942401111125946,0.33002519607543945,0.9143416285514832,0.9613847136497498
0.3646813631057739,0.9009560942649841,0.9425737261772156,0.3181394934654236,0.9256550073623657,0.9680567979812622
0.3617080748081207,0.901035487651825,0.9416941404342651,0.34718021750450134,0.9089826345443726,0.9575244784355164
0.35639506578445435,0.9023396968841553,0.9433826804161072,0.3083612024784088,0.9269309043884277,0.9667121171951294
