loss,accuracy,roc_auc,val_loss,val_accuracy,val_roc_auc
0.3268275558948517,0.8603427410125732,0.9052141308784485,0.19237454235553741,0.9191902279853821,0.9742540121078491
0.1783876121044159,0.9363977909088135,0.9704628586769104,0.1434716433286667,0.9483668208122253,0.9846118092536926
0.14982806146144867,0.9477277398109436,0.9781452417373657,0.1423424631357193,0.9487070441246033,0.9856929183006287
0.1327112764120102,0.9556440114974976,0.9819655418395996,0.13427989184856415,0.9527900815010071,0.9859969019889832
0.12380865961313248,0.9588082432746887,0.9840596914291382,0.10797493904829025,0.9631677269935608,0.9874066114425659
0.1139846220612526,0.961677610874176,0.9861599206924438,0.10272921621799469,0.9668254256248474,0.9893606901168823
0.10709463804960251,0.9641046524047852,0.987328290939331,0.09991282969713211,0.9658046960830688,0.9887555241584778
0.10153820365667343,0.9668379426002502,0.9883814454078674,0.09807941317558289,0.9664852023124695,0.9904041886329651
0.095900759100914,0.9684484004974365,0.9896690249443054,0.09196146577596664,0.9679312705993652,0.9908154606819153
0.08894040435552597,0.9708187580108643,0.9909821152687073,0.0904826670885086,0.9703980684280396,0.9908490777015686
0.08678265661001205,0.9715219140052795,0.9914383292198181,0.08935140073299408,0.9702279567718506,0.9913792014122009
0.08525465428829193,0.9721116423606873,0.9916940331459045,0.08864670991897583,0.9701429009437561,0.9914648532867432
0.08365637063980103,0.9722137451171875,0.9919600486755371,0.08457618951797485,0.9720993638038635,0.9926129579544067
0.0788232758641243,0.9737107753753662,0.9927142262458801,0.0807594358921051,0.9726097583770752,0.9930627346038818
0.10238974541425705,0.9663615822792053,0.9884567260742188,0.09887702763080597,0.9669105410575867,0.9893270134925842
0.08404330909252167,0.9732911586761475,0.991460382938385,0.08626803010702133,0.9712487459182739,0.991105854511261
0.07981011271476746,0.9738468527793884,0.9924706220626831,0.08916054666042328,0.9685267210006714,0.9930184483528137
0.08053427934646606,0.9735860228538513,0.9921944737434387,0.09207923710346222,0.9683566093444824,0.9902211427688599
0.07276440411806107,0.9758542776107788,0.993401825428009,0.08838596940040588,0.96954745054245,0.9931442141532898
0.07321043312549591,0.9755367040634155,0.9933890700340271,0.09317364543676376,0.96954745054245,0.9904553294181824
0.07052534818649292,0.9773740172386169,0.9933727979660034,0.08734387159347534,0.9718441367149353,0.9905773997306824
0.0695328339934349,0.9771472215652466,0.9939995408058167,0.08127917349338531,0.9711636900901794,0.9917841553688049
0.06631050258874893,0.9784741401672363,0.9943823218345642,0.0911041721701622,0.9706532955169678,0.9919964075088501
0.06416582316160202,0.9793360829353333,0.9947816133499146,0.08847514539957047,0.9697175621986389,0.9925670027732849
